Code,Name,Direction,Description,Image
CSPDarkCloudCover,Dark Cloud Cover,0,"A long white candlestick is followed by a gap higher during the next bar while the market is in uptrend. The bar ends up as a black candlestick, which closes more than halfway into the prior black candlestick's real body.",dark_cloud_cover.gif
CSPDoji,Doji,2,"A Doji is formed when the open and the close are the same or very close. By default settings, a Doji is identified when the body of the candle is smaller or equal 1/10 of its full lenght.",doji_star.gif
CSPDoji,Dragonfly Doji,1,"A Doji is formed when the open and the close are the same or very close. By default settings, a Doji is identified when the body of the candle is smaller or equal 1/10 of its full lenght.The bullish Dragonfly Doji pattern has got a long lower shadow, but no upper shadow. Dragonfly Doji can be reversal sign during downtrends.",doji_star.gif
CSPDoji,Gravestone Doji,0,"A Doji is formed when the open and the close are the same or very close. By default settings, a Doji is identified when the body of the candle is smaller or equal 1/10 of its full lenght. The bearish Gravestone Doji has got a long upper shadow but no lower shadow. Gravestone Doji can be reversal sign during uptrends.",doji_star.gif
CSPEngulfing,Bull Engulfing,1,"Bullish Engulfing Pattern is a pattern characterized by a large white real body engulfing a preceding small black real body, which appears during a downtrend. The white body does not necessarily engulf the shadows of the black body but totally engulfs the body itself.",engulfing.gif
CSPEngulfing,Bear Engulfing,0,"Bearish Engulfing Pattern is a large black real body, which engulfs a small white real body in an uptrend. The black body does not necessarily engulf the shadows of the white body but totally engulfs the body itself.",engulfing.gif
CSPGap,Gap Up,1,"A Gap Up, also known as a Rising Window, occurs when the candle's low is higher than the precedent candles's high or when the candle's open is higher than the precedent candles's body.",upside_gap_3_methods.gif
CSPGap,Gap Down,0,"A Gap Down, also known as a Falling Window, occurs when the candle's high is lower than the precedent candles's low or when the candle's open is lower than the precedent candles's body.",downside_gap_3_methods.gif
CSPHammer,Hammer,1,"The hammer is a one-bar formation. This pattern is expected to be a early sign for the reversal of a downtrend into an uptrend. It has got a long lower shadow, a small body at the top of the candle, and no or only a very short upper shadow. The color of the body is not important",hammer-dragonfly_doji.gif
CSPHarami,Bull Harami,1,"A candlestick chart pattern in which a large candlestick is followed by a smaller candlestick whose body is located within the vertical range of the larger body. In terms of candlestick colors, the bullish harami is a downtrend of black candlesticks engulfing a small positive white candlestick, giving a sign of a reversal of the downward trend.",harami.gif
CSPHarami,Bear Harami,0,"A candlestick chart pattern in which a large candlestick is followed by a smaller candlestick whose body is located within the vertical range of the larger body. In terms of candlestick colors, the bearish harami is an uptrend of positive white candlesticks engulfing a small  black candlestick, giving a sign of a reversal of the upward trend.",harami.gif
CSPInsideDay,Inside Bar,,"In an inside bar, the bar remains within the previous's bar high and low.",inbar.png
CSPOutsideDay,Outside Bar,,"In an outside bar, the bar's high is higher than the previous's bar high and the bar's low lower than the previous bar's low.",candel8.gif
CSPInvertedHammer,Inverted Hammer,1,"The inverted hammer has got a long upper shadow, a small body at the bottom of the candle, and no or only a very short lower shadow.",inverted_hammer-gravestone_dogi.gif
CSPKicking,Bullish Kicking,1,"The Bullish Kicking Pattern is a White Marubozu following a Black Marubozu. After the Black Marubozu, market gaps higher on the opening and it opens with a gap above the prior session's opening thus forming a White Marubozu.",kicking.gif
