cross1,cross2,rel
BUNDESBANK.BBK01_WT5511,BCB.UDJIAD1,0.345194567977274
AUDCAD,BCB.UDJIAD1,0.438731721724506
AUDCHF,BCB.UDJIAD1,-0.408049631727986
AUDJPY,BCB.UDJIAD1,0.66653964993955
AUDNZD,BCB.UDJIAD1,-0.47875165552578
AUDUSD,BCB.UDJIAD1,0.168164236108264
CADCHF,BCB.UDJIAD1,-0.58183767750966
CADJPY,BCB.UDJIAD1,0.349565486355841
CHFJPY,BCB.UDJIAD1,0.882506542049949
EURAUD,BCB.UDJIAD1,-0.474647804275746
EURCAD,BCB.UDJIAD1,-0.321125289605484
EURCHF,BCB.UDJIAD1,-0.651765081995758
EURGBP,BCB.UDJIAD1,-0.181366736482182
EURJPY,BCB.UDJIAD1,0.142390612756278
EURNZD,BCB.UDJIAD1,-0.744368599628696
EURUSD,BCB.UDJIAD1,-0.330171980635516
GBPAUD,BCB.UDJIAD1,-0.224418044486586
GBPCAD,BCB.UDJIAD1,-0.051631275357483
GBPCHF,BCB.UDJIAD1,-0.371449671001819
GBPJPY,BCB.UDJIAD1,0.147578941112016
GBPNZD,BCB.UDJIAD1,-0.485701833064715
GBPUSD,BCB.UDJIAD1,-0.122646675134666
NZDCAD,BCB.UDJIAD1,0.764027997718904
NZDCHF,BCB.UDJIAD1,-0.0838092795830112
NZDJPY,BCB.UDJIAD1,0.715446016438367
NZDUSD,BCB.UDJIAD1,0.540976132014845
USDCAD,BCB.UDJIAD1,0.0885506663383571
USDCHF,BCB.UDJIAD1,-0.517566281984107
USDJPY,BCB.UDJIAD1,0.344822376824375
DOE.RWTC,BCB.UDJIAD1,0.156282473181139
LBMA.SILVER,BCB.UDJIAD1,0.178793745178781
LPPM.PLAT,BCB.UDJIAD1,0.060173509791691
NASDAQOMX.NDX,BCB.UDJIAD1,0.941261793257618
NIKKEI.INDEX,BCB.UDJIAD1,0.888277235733497
OFDP.COPPER_6,BCB.UDJIAD1,-0.869364427764239
WSJ.CORN_2,BCB.UDJIAD1,-0.0240781996835484
YAHOO.INDEX_AORD,BCB.UDJIAD1,0.628308781208111
YAHOO.INDEX_FCHI,BCB.UDJIAD1,0.372284226525757
YAHOO.INDEX_GDAXI,BCB.UDJIAD1,0.956098430993567
YAHOO.INDEX_GSPC,BCB.UDJIAD1,0.988986825624884
YAHOO.INDEX_GSPTSE,BCB.UDJIAD1,0.811487869556607
YAHOO.INDEX_SSEC,BCB.UDJIAD1,0.299287419274904
BCB.UDJIAD1,BUNDESBANK.BBK01_WT5511,0.345194567977274
AUDCAD,BUNDESBANK.BBK01_WT5511,0.786757544630967
AUDCHF,BUNDESBANK.BBK01_WT5511,-0.135029018997051
AUDJPY,BUNDESBANK.BBK01_WT5511,-0.0509412399408089
AUDNZD,BUNDESBANK.BBK01_WT5511,0.513496075955722
AUDUSD,BUNDESBANK.BBK01_WT5511,0.790841572304065
CADCHF,BUNDESBANK.BBK01_WT5511,-0.583335601976198
CADJPY,BUNDESBANK.BBK01_WT5511,-0.517311318902313
CHFJPY,BUNDESBANK.BBK01_WT5511,0.0829021449866502
EURAUD,BUNDESBANK.BBK01_WT5511,-0.79024162616938
EURCAD,BUNDESBANK.BBK01_WT5511,-0.583679492528592
EURCHF,BUNDESBANK.BBK01_WT5511,-0.785493851185663
EURGBP,BUNDESBANK.BBK01_WT5511,0.67260595690005
EURJPY,BUNDESBANK.BBK01_WT5511,-0.70220712177208
EURNZD,BUNDESBANK.BBK01_WT5511,-0.483621753992127
EURUSD,BUNDESBANK.BBK01_WT5511,0.0871815448080745
GBPAUD,BUNDESBANK.BBK01_WT5511,-0.940353385057551
GBPCAD,BUNDESBANK.BBK01_WT5511,-0.871088454086745
